date;returnsp500
2001-10-02;0.01223052
2001-10-03;0.019731193
2001-10-04;-0.002474428
2001-10-05;0.001634743
2001-10-08;-0.008379387
2001-10-09;-0.005369989
2001-10-10;0.022679127
2001-10-11;0.015093795
2001-10-12;-0.005280769
2001-10-15;-0.001530966
2001-10-16;0.006911964
2001-10-17;-0.018808352
2001-10-18;-0.007904222
2001-10-19;0.004546969
2001-10-22;0.015180241
2001-10-23;-0.004708747
2001-10-24;0.0003871
2001-10-25;0.013627693
2001-10-26;0.004100337
2001-10-29;-0.024106605
2001-10-30;-0.017314952
2001-10-31;-9.43588E-06
2001-11-01;0.02268881
2001-11-02;0.002855434
2001-11-05;0.014283087
2001-11-06;0.014421639
2001-11-07;-0.002738673
2001-11-08;0.002452627
2001-11-09;0.001581169
2001-11-12;-0.001768932
2001-11-13;0.018393197
2001-11-14;0.001859405
2001-11-15;0.000902144
2001-11-16;-0.003147897
2001-11-19;0.010839907
2001-11-20;-0.007324379
2001-11-21;-0.004939278
2001-11-22;0
2001-11-23;0.011637951
2001-11-26;0.006135839
2001-11-27;-0.006866325
2001-11-28;-0.018420025
2001-11-29;0.010296646
2001-11-30;-0.000657996
2001-12-03;-0.008416557
2001-12-04;0.013100816
2001-12-05;0.0220729
2001-12-06;-0.00278081
2001-12-07;-0.007559993
2001-12-10;-0.015995189
2001-12-11;-0.002784746
2001-12-12;0.000272668
2001-12-13;-0.015679818
2001-12-14;0.003308854
2001-12-17;0.0099848
2001-12-18;0.007517776
2001-12-19;0.005792869
2001-12-20;-0.008412403
2001-12-21;0.004341706
2001-12-24;-0.000209649
2001-12-25;0
2001-12-26;0.004115053
2001-12-27;0.006728835
2001-12-28;0.003356128
2001-12-31;-0.011207947
2002-01-01;0
2002-01-02;0.005723607
2002-01-03;0.009138231
2002-01-04;0.00619393
2002-01-07;-0.006520088
2002-01-08;-0.003594775
2002-01-09;-0.004810338
2002-01-10;0.001219887
2002-01-11;-0.009512918
2002-01-14;-0.006295965
2002-01-15;0.006810847
2002-01-16;-0.016378524
2002-01-17;0.009980449
2002-01-18;-0.00997158
2002-01-21;0
2002-01-22;-0.007361319
2002-01-23;0.007893291
2002-01-24;0.003512765
2002-01-25;0.000997603
2002-01-28;-0.000194146
2002-01-29;-0.029030109
2002-01-30;0.011679242
2002-01-31;0.014823538
2002-02-01;-0.007103564
2002-02-04;-0.025048227
2002-02-05;-0.004046772
2002-02-06;-0.005990273
2002-02-07;-0.003087335
2002-02-08;0.014749462
2002-02-11;0.014238339
2002-02-12;-0.004001015
2002-02-13;0.00989222
2002-02-14;-0.001816563
2002-02-15;-0.011077901
2002-02-18;0
2002-02-19;-0.019054117
2002-02-20;0.013423266
2002-02-21;-0.015631844
2002-02-22;0.008190612
2002-02-25;0.017815473
2002-02-26;-4.50692E-05
2002-02-27;0.000459611
2002-02-28;-0.00285119
2002-03-01;0.022381893
2002-03-04;0.019303896
2002-03-05;-0.006695735
2002-03-06;0.014405315
2002-03-07;-0.004508026
2002-03-08;0.005831573
2002-03-11;0.003386825
2002-03-12;-0.002296645
2002-03-13;-0.009906663
2002-03-14;-0.000910222
2002-03-15;0.011314367
2002-03-18;-0.000523221
2002-03-19;0.004058503
2002-03-20;-0.015882236
2002-03-21;0.001509474
2002-03-22;-0.004247951
2002-03-25;-0.014759736
2002-03-26;0.005831691
2002-03-27;0.005334934
2002-03-28;0.00245204
2002-03-29;0
2002-04-01;-0.000741086
2002-04-02;-0.008566601
2002-04-03;-0.010043583
2002-04-04;0.00083491
2002-04-05;-0.003210219
2002-04-08;0.002277561
2002-04-09;-0.006678312
2002-04-10;0.011262162
2002-04-11;-0.023965518
2002-04-12;0.0066104
2002-04-15;-0.007643833
2002-04-16;0.023148435
2002-04-17;-0.002040419
2002-04-18;-0.001421881
2002-04-19;0.000622322
2002-04-22;-0.015530988
2002-04-23;-0.00622062
2002-04-24;-0.007128238
2002-04-25;-0.001519715
2002-04-26;-0.013986758
2002-04-29;-0.01015057
2002-04-30;0.01070787
2002-05-01;0.00881959
2002-05-02;-0.00175033
2002-05-03;-0.010315246
2002-05-06;-0.019529335
2002-05-07;-0.003025462
2002-05-08;0.036808577
2002-05-09;-0.014645126
2002-05-10;-0.016936495
2002-05-13;0.018379987
2002-05-14;0.020923115
2002-05-15;-0.005675524
2002-05-16;0.006540927
2002-05-17;0.007583422
2002-05-20;-0.013382234
2002-05-21;-0.011051057
2002-05-22;0.005669714
2002-05-23;0.010132467
2002-05-24;-0.012160267
2002-05-27;0
2002-05-28;-0.008589868
2002-05-29;-0.006432631
2002-05-30;-0.002813838
2002-05-31;0.002326673
2002-06-03;-0.025107827
2002-06-04;9.60906E-06
2002-06-05;0.008810967
2002-06-06;-0.019961703
2002-06-07;-0.001575355
2002-06-10;0.003119127
